H	A	HW	D	HL
Sheffield Utd	Wolves	1	1	3
Newcastle	Arsenal	1	1	9
Nottingham Forest	Aston Villa	0	2	2
Luton	Liverpool	0	0	0
Spurs	Chelsea	4	2	9
Wolves	Spurs	4	1	6
Arsenal	Burnley	4	3	1
Crystal Palace	Everton	2	4	5
Man Utd	Luton	1	0	0
Bournemouth	Newcastle	0	3	4
Aston Villa	Fulham	3	0	2
Brighton	Sheffield Utd	0	2	2
Liverpool	Brentford	2	1	1
West Ham	Nottingham Forest	1	0	1
Chelsea	Man City	5	0	10
Man City	Liverpool	6	4	4
Burnley	West Ham	3	2	3
Luton	Crystal Palace	0	0	0
Newcastle	Chelsea	2	1	7
Nottingham Forest	Brighton	1	1	0
Sheffield Utd	Bournemouth	1	2	1
Brentford	Arsenal	1	1	3
Spurs	Aston Villa	5	0	3
Everton	Man Utd	2	4	6
Fulham	Wolves	0	3	3
Arsenal	Wolves	5	2	3
Brentford	Luton	3	0	1
Burnley	Sheffield Utd	3	1	3
Nottingham Forest	Everton	0	2	0
Newcastle	Man Utd	2	2	7
Bournemouth	Aston Villa	3	0	1
Chelsea	Brighton	4	4	2
Liverpool	Fulham	3	2	1
West Ham	Crystal Palace	3	3	4
Man City	Spurs	6	1	6
Wolves	Burnley	1	3	4
Luton	Arsenal	0	0	0
Brighton	Brentford	2	1	1
Fulham	Nottingham Forest	4	0	2
Sheffield Utd	Liverpool	0	0	4
Crystal Palace	Bournemouth	5	0	2
Aston Villa	Man City	0	1	8
Man Utd	Chelsea	5	7	1
Everton	Newcastle	2	2	6
Spurs	West Ham	7	2	3
Crystal Palace	Liverpool	0	2	8
Brighton	Burnley	2	3	3
Man Utd	Bournemouth	5	0	1
Sheffield Utd	Brentford	2	0	0
Wolves	Nottingham Forest	2	1	1
Aston Villa	Arsenal	3	0	5
Everton	Chelsea	4	3	3
Fulham	West Ham	0	1	5
Luton	Man City	0	0	0
Spurs	Newcastle	5	2	3
Nottingham Forest	Spurs	1	0	2
Chelsea	Sheffield Utd	3	1	1
Man City	Crystal Palace	6	2	2
Newcastle	Fulham	4	2	0
Burnley	Everton	3	1	4
Arsenal	Brighton	3	3	5
Brentford	Aston Villa	2	3	1
West Ham	Wolves	4	0	6
Liverpool	Man Utd	6	3	2
Bournemouth	Luton	2	1	2
Crystal Palace	Brighton	2	5	3
Aston Villa	Sheffield Utd	1	2	3
West Ham	Man Utd	4	1	8
Fulham	Burnley	1	1	3
Luton	Newcastle	0	0	0
Nottingham Forest	Bournemouth	0	2	4
Spurs	Everton	4	5	2
Liverpool	Arsenal	8	3	4
Wolves	Chelsea	3	4	3
Man City	Brentford	2	0	2
Newcastle	Nottingham Forest	2	0	1
Bournemouth	Fulham	2	3	1
Sheffield Utd	Luton	1	2	1
Burnley	Liverpool	1	1	6
Man Utd	Aston Villa	6	2	2
Brentford	Wolves	1	1	2
Chelsea	Crystal Palace	11	0	0
Everton	Man City	0	1	10
Brighton	Spurs	3	0	8
Arsenal	West Ham	7	2	1
Luton	Chelsea	0	0	2
Aston Villa	Burnley	2	3	1
Crystal Palace	Brentford	0	4	0
Man City	Sheffield Utd	5	0	0
Wolves	Everton	5	2	3
Nottingham Forest	Man Utd	0	0	4
Fulham	Arsenal	0	1	5
Spurs	Bournemouth	3	1	2
Liverpool	Newcastle	8	2	0
West Ham	Brighton	0	6	4
Burnley	Luton	1	1	0
Chelsea	Fulham	4	1	1
Newcastle	Man City	1	2	8
Everton	Aston Villa	0	2	6
Man Utd	Spurs	6	2	2
Arsenal	Crystal Palace	3	5	2
Brentford	Nottingham Forest	3	2	3
Sheffield Utd	West Ham	1	1	2
Bournemouth	Liverpool	1	0	5
Brighton	Wolves	4	4	2
Nottingham Forest	Arsenal	2	0	2
Fulham	Everton	3	1	2
Luton	Brighton	0	0	0
Crystal Palace	Sheffield Utd	2	0	2
Aston Villa	Newcastle	4	2	2
Spurs	Brentford	2	2	1
Man City	Burnley	11	0	0
Liverpool	Chelsea	7	5	3
West Ham	Bournemouth	3	1	2
Wolves	Man Utd	3	4	6
Everton	Spurs	2	5	4
Brighton	Crystal Palace	3	5	2
Burnley	Fulham	3	1	1
Newcastle	Luton	0	0	0
Sheffield Utd	Aston Villa	3	2	1
Bournemouth	Nottingham Forest	4	2	0
Chelsea	Wolves	3	4	3
Man Utd	West Ham	8	1	4
Arsenal	Liverpool	4	3	8
Brentford	Man City	2	0	2
Man City	Everton	10	1	0
Fulham	Bournemouth	1	3	2
Liverpool	Burnley	6	1	1
Luton	Sheffield Utd	1	2	1
Spurs	Brighton	8	0	3
Wolves	Brentford	2	1	1
Nottingham Forest	Newcastle	1	0	2
West Ham	Arsenal	1	2	7
Aston Villa	Man Utd	2	2	6
Crystal Palace	Chelsea	0	0	11
Brentford	Liverpool	1	1	2
Burnley	Arsenal	1	3	4
Fulham	Aston Villa	2	0	3
Newcastle	Bournemouth	4	3	0
Nottingham Forest	West Ham	1	0	1
Spurs	Wolves	6	1	4
Man City	Chelsea	10	0	5
Sheffield Utd	Brighton	2	2	0
Luton	Man Utd	0	0	1
Everton	Crystal Palace	5	4	2
Liverpool	Luton	0	0	0
Aston Villa	Nottingham Forest	2	2	0
Brighton	Everton	4	1	5
Crystal Palace	Burnley	3	2	3
Man Utd	Fulham	6	1	0
Bournemouth	Man City	0	0	7
Arsenal	Newcastle	9	1	1
Wolves	Sheffield Utd	3	1	1
West Ham	Brentford	1	0	4
Chelsea	Spurs	9	2	4
Brentford	Chelsea	2	1	2
Everton	West Ham	5	1	5
Fulham	Brighton	3	3	0
Newcastle	Wolves	2	6	2
Nottingham Forest	Liverpool	1	0	2
Spurs	Crystal Palace	7	2	2
Luton	Aston Villa	0	0	0
Burnley	Bournemouth	5	0	1
Man City	Man Utd	8	1	5
Sheffield Utd	Arsenal	1	1	3
Man Utd	Everton	6	4	2
Bournemouth	Sheffield Utd	1	2	1
Crystal Palace	Luton	0	0	0
Wolves	Fulham	3	3	0
Arsenal	Brentford	3	1	1
Aston Villa	Spurs	3	0	5
Brighton	Nottingham Forest	0	1	1
West Ham	Burnley	3	2	3
Liverpool	Man City	4	4	6
Chelsea	Newcastle	7	1	2
Burnley	Brentford	1	0	1
Luton	Nottingham Forest	2	2	2
Fulham	Spurs	0	1	5
West Ham	Aston Villa	5	3	0
Arsenal	Chelsea	7	1	4
Wolves	Bournemouth	3	2	1
Crystal Palace	Newcastle	3	4	4
Everton	Liverpool	1	4	6
Man Utd	Sheffield Utd	2	1	1
Brighton	Man City	1	1	9
Newcastle	West Ham	4	3	3
Bournemouth	Everton	4	1	2
Chelsea	Burnley	6	2	0
Nottingham Forest	Crystal Palace	1	1	0
Sheffield Utd	Fulham	2	1	1
Spurs	Luton	0	0	0
Aston Villa	Wolves	2	2	5
Brentford	Man Utd	1	0	3
Liverpool	Brighton	5	3	3
Man City	Arsenal	12	0	2
Nottingham Forest	Fulham	2	0	4
Newcastle	Everton	6	2	2
Bournemouth	Crystal Palace	2	0	5
Burnley	Wolves	4	3	1
West Ham	Spurs	3	2	7
Arsenal	Luton	0	0	0
Brentford	Brighton	1	1	2
Man City	Aston Villa	8	1	0
Liverpool	Sheffield Utd	4	0	0
Chelsea	Man Utd	1	7	5
Crystal Palace	Man City	2	2	6
Aston Villa	Brentford	1	3	2
Everton	Burnley	4	1	3
Fulham	Newcastle	0	2	4
Luton	Bournemouth	2	1	2
Wolves	West Ham	6	0	4
Brighton	Arsenal	5	3	3
Man Utd	Liverpool	2	3	6
Sheffield Utd	Chelsea	1	1	3
Spurs	Nottingham Forest	2	0	1
Newcastle	Spurs	3	2	5
Brentford	Sheffield Utd	0	0	2
Burnley	Brighton	3	3	2
Man City	Luton	0	0	0
Nottingham Forest	Wolves	1	1	2
Bournemouth	Man Utd	1	0	5
Liverpool	Crystal Palace	8	2	0
West Ham	Fulham	5	1	0
Arsenal	Aston Villa	5	0	3
Chelsea	Everton	3	3	4
Luton	Brentford	1	0	3
Sheffield Utd	Burnley	3	1	3
Wolves	Arsenal	3	2	5
Everton	Nottingham Forest	0	2	0
Aston Villa	Bournemouth	1	0	3
Crystal Palace	West Ham	4	3	3
Fulham	Liverpool	1	2	3
Spurs	Man City	6	1	6
Brighton	Chelsea	2	4	4
Man Utd	Newcastle	7	2	2
West Ham	Liverpool	1	1	8
Fulham	Crystal Palace	1	2	3
Man Utd	Burnley	6	2	1
Newcastle	Sheffield Utd	3	0	1
Wolves	Luton	0	0	0
Everton	Brentford	2	1	2
Aston Villa	Chelsea	2	1	6
Bournemouth	Brighton	3	0	4
Spurs	Arsenal	4	2	5
Nottingham Forest	Man City	0	1	1
Luton	Everton	0	0	0
Arsenal	Bournemouth	6	1	0
Brentford	Fulham	4	0	2
Burnley	Newcastle	2	1	6
Sheffield Utd	Nottingham Forest	1	3	2
Man City	Wolves	7	1	2
Brighton	Aston Villa	1	2	6
Chelsea	West Ham	5	2	3
Liverpool	Spurs	9	2	0
Crystal Palace	Man Utd	3	3	4
Fulham	Man City	0	0	9
Bournemouth	Brentford	1	1	4
Everton	Sheffield Utd	2	0	2
Newcastle	Brighton	2	5	3
Spurs	Burnley	6	1	2
West Ham	Luton	0	0	0
Wolves	Crystal Palace	5	1	5
Nottingham Forest	Chelsea	0	2	2
Man Utd	Arsenal	3	3	5
Aston Villa	Liverpool	2	1	7
Arsenal	Everton	4	1	5
Brentford	Newcastle	1	1	3
Brighton	Man Utd	4	0	8
Burnley	Nottingham Forest	0	0	0
Chelsea	Bournemouth	4	1	2
Crystal Palace	Aston Villa	3	1	4
Liverpool	Wolves	10	1	2
Luton	Fulham	0	2	2
Man City	West Ham	8	2	1
Sheffield Utd	Spurs	2	1	2
